Strain,Metformin_mM,AUC_mean,AUC_sd,AUC_median,AUC_se,number_elements
NT12082,200,3.2130666666666667,0.339341190151348,3.4025,0.19591872748100878,3
NT12083,0,13.367966666666666,1.2081207486560819,12.7974,0.6975088394501611,3
NT12083,50,8.101866666666666,0.7678812820568907,7.6765,0.4433364649012208,3
NT12083,100,4.018433333333333,0.7090935081731699,4.3213,0.40939532782439575,3
NT12083,200,0.04256666666666667,0.0336180507069243,0.0541,0.019409390625273235,3
NT12084,0,12.91,0.5526320928067784,12.8133,0.31906228754481974,3
NT12084,50,8.485733333333334,0.902526461292595,8.1868,0.52107389537804,3
NT12084,100,7.516333333333333,0.6803524405286814,7.2775,0.39280166468305305,3
NT12084,200,3.1148000000000002,0.7420524779286167,3.0714,0.4284241978849157,3
NT12085,0,14.342766666666666,0.36772846413261695,14.2236,0.21230812775565405,3
NT12085,50,6.840566666666667,0.6032982043180084,7.1464,0.34831438066462,3
NT12085,100,2.4542333333333333,0.4074303907826875,2.5486,0.23523004579441906,3
NT12085,200,0.0501,0.01781600404131072,0.0422,0.010286074729134204,3
NT12086,0,13.962466666666666,1.713809908751065,13.288,0.9894686121572754,3
NT12086,50,7.546733333333333,0.6539731977178674,7.7934,0.37757160174521115,3
NT12086,100,4.4629666666666665,0.29559943053621296,4.601,0.17066441079238265,3
NT12086,200,2.2849333333333335,0.23899532073522564,2.3937,0.13798401276154348,3
NT12087,0,9.1584,0.49921281033242687,9.2577,0.2882206504283363,3
NT12087,50,6.837066666666667,0.6848287109440825,7.1713,0.39538604061235044,3
NT12087,100,2.3354666666666666,0.5384788234771478,2.4709,0.31089089368744427,3
NT12087,200,0.035,0.032825447445541396,0.0399,0.018951780918953238,3
NT12088,0,11.597733333333334,0.9815422065980318,11.8167,0.5666936572003529,3
NT12088,50,6.987533333333333,1.0007931171492603,7.2563,0.5778081755892501,3
NT12088,100,2.4054,0.7647513386715973,2.5263,0.4415293912451734,3
NT12088,200,0.04533333333333334,0.017722678503356466,0.0404,0.01023219320467405,3
