Strain,estimate,estimate1,estimate2,.y.,group1,group2,n1,n2,statistic,p,df,conf.low,conf.high,method,alternative,p.adj,p.adj.signif
NT12021,3.7821499999999997,11.556933333333333,7.774783333333334,AUC,0,50,6,6,3.95893185214369,0.003,9.998897422719207,1.6534744795665284,5.910825520433471,T-test,two.sided,0.006557312252964426,**
NT12021,7.613283333333333,11.556933333333333,3.94365,AUC,0,100,6,6,7.452875659294892,2.41e-5,9.822174959387068,5.331590428359216,9.89497623830745,T-test,two.sided,6.129435114503817e-4,***
NT12021,11.475316666666666,11.556933333333333,0.08161666666666667,AUC,0,200,6,6,17.06610063212925,1.24e-5,5.012762603548957,9.748169604826332,13.202463728506999,T-test,two.sided,4.330863157894737e-4,***
NT12021,3.8311333333333337,7.774783333333334,3.94365,AUC,50,100,6,6,3.7333084428435814,0.004,9.848021078536082,1.5398178711545796,6.122448795512088,T-test,two.sided,0.0079568345323741,**
NT12021,7.6931666666666665,7.774783333333334,0.08161666666666667,AUC,50,200,6,6,11.321913855036616,9.25e-5,5.012497350953712,5.947782114320354,9.438551219012979,T-test,two.sided,0.0012100941176470589,**
NT12021,3.862033333333333,3.94365,0.08161666666666667,AUC,100,200,6,6,5.01717500335782,0.004,5.0097354374567065,1.8844517672245178,5.839614899442149,T-test,two.sided,0.0079568345323741,**
NT12022,3.773366666666667,9.877733333333333,6.1043666666666665,AUC,0,50,6,6,2.245101551482267,0.056,7.640015590309261,-0.1343779720152936,7.681111305348628,T-test,two.sided,0.06409382545705415,ns
NT12022,7.156816666666667,9.877733333333333,2.7209166666666667,AUC,0,100,6,6,4.106626989356553,0.003,8.334700521131547,3.1659507388152885,11.147682594518043,T-test,two.sided,0.006557312252964426,**
NT12022,9.837316666666666,9.877733333333333,0.04041666666666667,AUC,0,200,6,6,6.636010306251146,0.001,5.000768069308725,6.026825390497429,13.647807942835904,T-test,two.sided,0.0031934552454282966,**
NT12022,3.38345,6.1043666666666665,2.7209166666666667,AUC,50,100,6,6,2.793290264108103,0.019,9.794763458983901,0.6768700694832461,6.090029930516754,T-test,two.sided,0.02568948655256724,*
NT12022,6.06395,6.1043666666666665,0.04041666666666667,AUC,50,200,6,6,7.654608184890109,6.04e-4,5.002690033852033,4.027874657453149,8.10002534254685,T-test,two.sided,0.0029778187221396733,**
NT12022,2.6805,2.7209166666666667,0.04041666666666667,AUC,100,200,6,6,2.9247409515719136,0.033,5.002009725310942,0.3248684703250816,5.036131529674918,T-test,two.sided,0.04077988826815642,*
NT12023,4.183433333333333,11.8728,7.6893666666666665,AUC,0,50,6,6,3.4211612912069613,0.01,7.50739705215168,1.3310934874058387,7.035773179260828,T-test,two.sided,0.015354002776492364,*
NT12023,8.605333333333334,11.8728,3.2674666666666665,AUC,0,100,6,6,7.125760200549134,1.6e-4,7.248783263826592,5.7694731152318,11.44119355143487,T-test,two.sided,0.001603867069486405,**
NT12023,11.640533333333334,11.8728,0.23226666666666668,AUC,0,200,6,6,10.626879124441865,1.03e-4,5.181895331178564,8.854224912532032,14.426841754134635,T-test,two.sided,0.001270460966542751,**
NT12023,4.4219,7.6893666666666665,3.2674666666666665,AUC,50,100,6,6,5.723941916722494,1.95e-4,9.96195968980939,2.699711092329987,6.144088907670013,T-test,two.sided,0.0017629700272479565,**
NT12023,7.4571,7.6893666666666665,0.23226666666666668,AUC,50,200,6,6,12.821281254380686,2.1e-5,5.673668162321893,6.013850031251182,8.900349968748818,T-test,two.sided,5.950462809917355e-4,***
NT12023,3.0351999999999997,3.2674666666666665,0.23226666666666668,AUC,100,200,6,6,5.528590398059367,0.002,5.761435029546152,1.6782442089149716,4.3921557910850275,T-test,two.sided,0.005077276205049732,**
